PREV_BLOCK,CURR_BLOCK
0, 8004F44
8004F44, 8004F50
8004F50, 8004F48
8004F48, 8004F48
8004F48, 8004F58
8004F58, 8004F48
8004F48, 8004F5A
8004F5A, 8004F64
8004F64, 8004F5E
8004F5E, 8004F5E
8004F5E, 8004F6A
8004F6A, 8004EEC
8004EEC, 8004F6E
8004F6E, 8004F90
8004F90, 8004FA0
8004FA0, 80072B4
80072B4, 8004FA4
8004FA4, 8004FBE
8004FBE, 8000134
8000134, 8000142
8000142, 8004FC4
8004FC4, 8004FAE
8004FAE, 8004FB2
8004FB2, 8004F72
8004F72, 8004192
8004192, 8004178
8004178, 800400C
800400C, 8004568
8004568, 8001128
8001128, 8001170
8001170, 800113A
800113A, 8001104
8001104, 8002214
8002214, 800110C
800110C, 8001214
8001214, 800121C
800121C, 8001118
8001118, 8001194
8001194, 8001124
8001124, 8001140
8001140, 8004CA8
8004CA8, 8001170
8001170, 8004CC4
8004CC4, 8001194
8001194, 8004CD0
8004CD0, 8001194
8001194, 8004CDC
8004CDC, 8001194
8001194, 8004CE8
8004CE8, 8001194
8001194, 8004CF4
8004CF4, 8001194
8001194, 8004D00
8004D00, 8001194
8001194, 8004D0C
8004D0C, 8001194
8001194, 8004D18
8004D18, 8001144
8001144, 8004572
8004572, 80044F0
80044F0, 8001B58
8001B58, 8001B64
8001B64, 8001CBA
8001CBA, 8001CD4
8001CD4, 8001CF0
8001CF0, 8001CF6
8001CF6, 8001B6C
8001B6C, 8001BBA
8001BBA, 8001BC2
8001BC2, 8001EF0
8001EF0, 8001EFE
8001EFE, 8001F06
8001F06, 800115C
800115C, 8001F20
8001F20, 8001F40
8001F40, 8001F54
8001F54, 800115C
800115C, 8001F80
8001F80, 8001BCA
8001BCA, 8001C10
8001C10, 8004512
8004512, 800451C
800451C, 800209C
800209C, 8002112
8002112, 80020B0
80020B0, 800212C
800212C, 80020B6
80020B6, 800213C
800213C, 8002164
8002164, 8002168
8002168, 800115C
800115C, 8002188
8002188, 80021AE
80021AE, 80021B2
80021B2, 80020BA
80020BA, 80020C8
80020C8, 80021F4
80021F4, 80020D4
80020D4, 80020D8
80020D8, 8002008
8002008, 8002014
8002014, 8002024
8002024, 8002086
8002086, 800207E
800207E, 80020EA
80020EA, 8001104
8001124, 800210C
800210C, 8004534
8004534, 800453C
800453C, 8002214
8002214, 8004540
8004540, 8001214
800121C, 800454C
800454C, 8001240
8001240, 8004552
8004552, 8001194
8001194, 800455E
800455E, 8004576
8004576, 8001424
8001424, 800142A
800142A, 8001426
8001426, 80045C0
80045C0, 8001424
8001426, 80045CA
80045CA, 8001264
8001264, 8001388
8001388, 8001276
8001276, 8001388
8001276, 8001288
8001288, 8001290
8001290, 8001294
8001294, 800129A
800129A, 800129C
800129C, 80012A2
80012A2, 80013E4
80013E4, 80012A8
80012A8, 8001388
8001388, 8001390
8001390, 80045DC
80045DC, 8001264
8001390, 80045EC
80045EC, 8001754
8001754, 800175C
800175C, 8001766
8001766, 8004D24
8004D24, 8004D2E
8004D2E, 8001264
8001288, 80013EE
80013EE, 80012A8
8001390, 8004D42
8004D42, 800176E
800176E, 8002220
8002220, 8001784
8001784, 80017F2
80017F2, 80017F6
80017F6, 8001802
8001802, 80017C0
80017C0, 800460C
800460C, 8004616
8004616, 8002724
8002724, 800272A
800272A, 8002734
8002734, 8004E58
8004E58, 8004E64
8004E64, 8001264
8001294, 80013E8
80013E8, 80012A8
8001390, 8004E92
8004E92, 8001264
800129C, 80013BE
80013BE, 80013F4
80013F4, 80012A8
8001390, 8004EA4
8004EA4, 8001194
8001194, 8004EAE
8004EAE, 80011FC
80011FC, 8004EB4
8004EB4, 800273C
800273C, 80025E8
80025E8, 800262A
800262A, 8002250
8002250, 800262E
800262E, 8002250
8002250, 800264A
800264A, 8002250
8002250, 800265A
800265A, 8002250
8002250, 800267E
800267E, 8002250
8002250, 800268E
800268E, 8002752
8002752, 800463A
800463A, 8004642
8004642, 80023D0
80023D0, 80023D6
80023D6, 80023E0
80023E0, 8004D68
8004D68, 8004D72
8004D72, 80023E8
80023E8, 8002368
